Country,Year,fertility,life,population,child_mortality,gdp,region
Afghanistan,2000,7.733,54.863,22856302,137,962,South Asia
Albania,2000,2.383,74.2,3071856,26.2,5305,Europe & Central Asia
Algeria,2000,2.514,68.96300000000001,30533827,39.7,9885,Middle East & North Africa
Angola,2000,6.843999999999999,45.233999999999995,13926373,216.7,3387,Sub-Saharan Africa
Antigua and Barbuda,2000,2.316,73.544,77656,15.5,19319,America
Argentina,2000,2.477,73.822,36930709,20.2,11504,America
Armenia,2000,1.3,71.494,3076098,30.1,2919,Europe & Central Asia
Aruba,2000,1.874,73.783,90271,21.35,43703,America
Australia,2000,1.756,79.93,19164351,6.2,35253,East Asia & Pacific
Austria,2000,1.365,78.33,8004712,5.5,38548,Europe & Central Asia
Azerbaijan,2000,2.049,66.851,8110723,74,4459,Europe & Central Asia
Bahamas,2000,2.0709999999999997,72.37,297651,15.7,25858,America
Bahrain,2000,2.765,74.497,638193,12.6,45063,Middle East & North Africa
Bangladesh,2000,3.12,65.309,129592275,88,1632,South Asia
Barbados,2000,1.768,73.118,267511,16.3,14677,America
Belarus,2000,1.23,68.99,10057810,14.4,7300,Europe & Central Asia
Belgium,2000,1.633,77.91,10175684,5.8,37404,Europe & Central Asia
Belize,2000,3.594,70.425,250512,25,7215,America
Benin,2000,5.975,55.261,6517810,144.7,1525,Sub-Saharan Africa
Bhutan,2000,3.608,60.306999999999995,571262,79.6,3596,South Asia
Bolivia,2000,4.14,62.994,8307248,80.2,4330,America
Bosnia and Herzegovina,2000,1.381,74.882,3693698,9.1,6158,Europe & Central Asia
Botswana,2000,3.4130000000000003,50.567,1757925,71.5,10250,Sub-Saharan Africa
Brazil,2000,2.364,70.26100000000001,174425387,32.4,11461,America
Brunei,2000,2.401,75.92699999999999,327036,9.5,74475,East Asia & Pacific
Bulgaria,2000,1.181,71.59,8006158,21.1,9075,Europe & Central Asia
Burkina Faso,2000,6.5920000000000005,50.589,12294012,185.7,1046,Sub-Saharan Africa
Burundi,2000,7.057,48.251000000000005,6374347,152.2,723,Sub-Saharan Africa
Cambodia,2000,3.75,62.03,12446949,108.3,1368,East Asia & Pacific
Cameroon,2000,5.621,51.96,15678269,149.2,2404,Sub-Saharan Africa
Canada,2000,1.507,79.41,30667365,6.2,37314,America
Cape Verde,2000,3.701,69.835,437238,35.2,3772,Sub-Saharan Africa
Central African Rep.,2000,5.446000000000001,43.727,3701607,NA,NA,Sub-Saharan Africa
Chad,2000,7.354,46.708,8222327,190.2,998,Sub-Saharan Africa
Channel Islands,2000,1.402,77.612,145330,12.93,NA,Europe & Central Asia
Chile,2000,2.0869999999999997,77.01,15419820,10.9,14614,America
China,2000,1.51,72.124,1269116737,36.9,3678,East Asia & Pacific
Colombia,2000,2.64,71.02600000000001,39764166,25.1,8414,America
Comoros,2000,5.315,57.9,562469,101.1,1391,Sub-Saharan Africa
"Congo, Dem. Rep.",2000,7.0889999999999995,46.387,49626200,161,531,Sub-Saharan Africa
"Congo, Rep.",2000,5.1339999999999995,52.326,3135773,121.6,4623,Sub-Saharan Africa
Costa Rica,2000,2.414,77.721,3919180,13,9564,America
Cote d'Ivoire,2000,5.375,46.428999999999995,16581653,142.3,3049,Sub-Saharan Africa
Croatia,2000,1.444,74.798,4505533,8.3,15644,Europe & Central Asia
Cuba,2000,1.626,76.684,11104313,8.4,11268,America
Cyprus,2000,1.714,78.01100000000001,943294,6.5,30005,Europe & Central Asia
Czech Rep.,2000,1.128,75.05,10242890,NA,NA,Europe & Central Asia
Denmark,2000,1.771,76.9,5339501,5.6,41693,Europe & Central Asia
Djibouti,2000,4.468999999999999,57.023,731930,100.8,2079,Middle East & North Africa
Dominican Rep.,2000,2.892,70.553,8591967,NA,NA,America
Ecuador,2000,3.068,73.35300000000001,12345023,34.4,7444,America
Egypt,2000,3.306,68.632,67648419,46.5,7807,Middle East & North Africa
El Salvador,2000,2.9339999999999997,69.715,5940305,32.4,6266,America
Equatorial Guinea,2000,5.773,47.723,520380,152.1,11768,Sub-Saharan Africa
Eritrea,2000,5.94,56.131,3667576,89.1,1446,Sub-Saharan Africa
Estonia,2000,1.319,70.8,1370749,11,14877,Europe & Central Asia
Ethiopia,2000,6.529,52.245,65577897,145.1,623,Sub-Saharan Africa
Fiji,2000,3.09,67.553,811718,24.5,6444,East Asia & Pacific
Finland,2000,1.73,77.76,5173370,4.3,34517,Europe & Central Asia
France,2000,1.819,79.23,59047795,5.4,34774,Europe & Central Asia
French Guiana,2000,3.823,74.745,164983,17.71,NA,America
French Polynesia,2000,2.463,72.313,237638,10.27,NA,East Asia & Pacific
Gabon,2000,4.6,59.744,1235274,83.6,17630,Sub-Saharan Africa
Gambia,2000,5.917000000000001,55.115,1297084,118.8,1564,Sub-Saharan Africa
Georgia,2000,1.609,71.839,4745765,35.7,3269,Europe & Central Asia
Germany,2000,1.35,78.1412746311,82349027,5.4,36953,Europe & Central Asia
Ghana,2000,4.669,56.996,19165490,100.7,2273,Sub-Saharan Africa
Greece,2000,1.269,78.535,10986883,7.8,25030,Europe & Central Asia
Greenland,2000,2.329,67.03,56196,NA,20499,Europe & Central Asia
Grenada,2000,2.582,70.34100000000001,101522,16,9650,America
Guadeloupe,2000,2.073,77.116,427214,11.29,NA,America
Guam,2000,2.824,75.01100000000001,155147,17.61,NA,East Asia & Pacific
Guatemala,2000,4.801,67.768,11237101,50.6,6313,America
Guinea,2000,5.939,51.257,8344486,170.2,1139,Sub-Saharan Africa
Guinea-Bissau,2000,5.845,51.468,1240655,177.5,1330,Sub-Saharan Africa
Guyana,2000,2.585,63.29,733101,46.7,5071,America
Haiti,2000,4.303,57.46,8645371,104.8,1734,America
Honduras,2000,3.996,70.482,6218151,37.4,3483,America
"Hong Kong, China",2000,0.8809999999999999,80.361,6783317,4.42,34017,East Asia & Pacific
Hungary,2000,1.307,71.86,10210545,11.2,17707,Europe & Central Asia
Iceland,2000,2.005,79.72,281210,4,33599,Europe & Central Asia
India,2000,3.145,62.129,1053898107,91.2,2548,South Asia
Indonesia,2000,2.484,67.289,213395411,52.3,5878,East Asia & Pacific
Iran,2000,2.193,69.611,65342319,34.7,11719,Middle East & North Africa
Iraq,2000,4.965,70.845,23857458,44.7,11764,Middle East & North Africa
Ireland,2000,1.951,76.66,3803780,7.1,41198,Europe & Central Asia
Israel,2000,2.9210000000000003,78.75,6014953,6.9,25739,Middle East & North Africa
Italy,2000,1.22,79.73,56986329,5.5,36073,Europe & Central Asia
Jamaica,2000,2.603,70.479,2581648,22,8139,America
Japan,2000,1.3219999999999998,81.35,125720310,4.5,32193,East Asia & Pacific
Jordan,2000,4.053,71.72399999999999,4827096,27.7,7695,Middle East & North Africa
Kazakhstan,2000,1.922,63.513000000000005,14956694,43.6,9706,Europe & Central Asia
Kenya,2000,5.012,52.864,31253701,102.5,2143,Sub-Saharan Africa
Kiribati,2000,3.881,64.642,84010,70.6,1804,East Asia & Pacific
"Korea, Dem. Rep.",2000,1.991,65.271,22894095,NA,NA,East Asia & Pacific
"Korea, Rep.",2000,1.352,76.11399999999999,45987624,NA,NA,East Asia & Pacific
Kuwait,2000,2.869,73.133,1940786,12.7,75219,Middle East & North Africa
