Período,Provincia,Valor
2009-01-01T00:00:00Z,BUENOS AIRES,1787.64
2009-01-01T00:00:00Z,"Cdad. Autónoma 
de Buenos Aires",1469.941
2009-01-01T00:00:00Z,CATAMARCA,29.789
2009-01-01T00:00:00Z,CHACO,59.917
2009-01-01T00:00:00Z,CHUBUT,93.274
2009-01-01T00:00:00Z,CÓRDOBA,457.589
2009-01-01T00:00:00Z,CORRIENTES,63.403
2009-01-01T00:00:00Z,ENTRE RÍOS,118.24
2009-01-01T00:00:00Z,FORMOSA,20.594
2009-01-01T00:00:00Z,JUJUY,50.544
2009-01-01T00:00:00Z,LA PAMPA,35.412
2009-01-01T00:00:00Z,LA RIOJA,25.573
2009-01-01T00:00:00Z,MENDOZA,224.357
2009-01-01T00:00:00Z,MISIONES,82.01
2009-01-01T00:00:00Z,NEUQUÉN,92.927
2009-01-01T00:00:00Z,RíO NEGRO,109.325
2009-01-01T00:00:00Z,SALTA,100.327
2009-01-01T00:00:00Z,SAN JUAN,73.954
2009-01-01T00:00:00Z,SAN LUIS,52.385
2009-01-01T00:00:00Z,SANTA CRUZ,54.735
2009-01-01T00:00:00Z,SANTA FE,459.325
2009-01-01T00:00:00Z,"SANTIAGO 
DEL ESTERO",41.929
2009-01-01T00:00:00Z,TIERRA DEL FUEGO,27.006
2009-01-01T00:00:00Z,TUCUMÁN,129.765
2009-02-01T00:00:00Z,BUENOS AIRES,1769.223
2009-02-01T00:00:00Z,"Cdad. Autónoma 
de Buenos Aires",1467.029
2009-02-01T00:00:00Z,CATAMARCA,30.504
2009-02-01T00:00:00Z,CHACO,60.212
2009-02-01T00:00:00Z,CHUBUT,92.852
2009-02-01T00:00:00Z,CÓRDOBA,456.084
2009-02-01T00:00:00Z,CORRIENTES,63.791
2009-02-01T00:00:00Z,ENTRE RÍOS,118.017
2009-02-01T00:00:00Z,FORMOSA,20.837
2009-02-01T00:00:00Z,JUJUY,50.327
2009-02-01T00:00:00Z,LA PAMPA,35.541
2009-02-01T00:00:00Z,LA RIOJA,28.996
2009-02-01T00:00:00Z,MENDOZA,231.265
2009-02-01T00:00:00Z,MISIONES,83.435
2009-02-01T00:00:00Z,NEUQUÉN,93.316
2009-02-01T00:00:00Z,RíO NEGRO,111.229
2009-02-01T00:00:00Z,SALTA,100.914
2009-02-01T00:00:00Z,SAN JUAN,74.532
2009-02-01T00:00:00Z,SAN LUIS,51.639
2009-02-01T00:00:00Z,SANTA CRUZ,55.166
2009-02-01T00:00:00Z,SANTA FE,453.637
2009-02-01T00:00:00Z,"SANTIAGO 
DEL ESTERO",41.987
2009-02-01T00:00:00Z,TIERRA DEL FUEGO,26.465
2009-02-01T00:00:00Z,TUCUMÁN,130.383
2009-03-01T00:00:00Z,BUENOS AIRES,1745.913
2009-03-01T00:00:00Z,"Cdad. Autónoma 
de Buenos Aires",1466.167
2009-03-01T00:00:00Z,CATAMARCA,31.819
2009-03-01T00:00:00Z,CHACO,61.331
2009-03-01T00:00:00Z,CHUBUT,93.235
2009-03-01T00:00:00Z,CÓRDOBA,454.039
2009-03-01T00:00:00Z,CORRIENTES,64.836
2009-03-01T00:00:00Z,ENTRE RÍOS,119.666
2009-03-01T00:00:00Z,FORMOSA,20.947
