Período,"Remuneración mediana - 
con estacionalidad","Remuneración mediana - 
sin estacionalidad","Remuneración promedio -
 con estacionalidad","Remuneración promedio - 
sin estacionalidad"
2009-01-01T00:00:00Z,2050,2046.4298270667684,2907.11,2744.7525371109305
2009-02-01T00:00:00Z,2014.08,2088.29985854286,2791.44,2787.707936764404
2009-03-01T00:00:00Z,2025.53,2090.9506244254667,2869.86,2768.318941405746
2009-04-01T00:00:00Z,2157.8,2204.5029391419325,2885.72,2843.674961044677
2009-05-01T00:00:00Z,2223.66,2228.4475623928074,2886.88,2871.683504389046
2009-06-01T00:00:00Z,3263.85,2256.031780662679,4245.81,2929.7514081238783
2009-07-01T00:00:00Z,2277.19,2252.9836005973293,2991.46,2953.365881053974
2009-08-01T00:00:00Z,2286.15,2293.314045657604,3026.88,3011.5819668620043
2009-09-01T00:00:00Z,2322,2289.0373667949925,3112.32,3056.3267026331478
2009-10-01T00:00:00Z,2334.71,2320.874308598458,3135.62,3099.5468305707063
2009-11-01T00:00:00Z,2321.91,2370.5578742902353,3110.03,3144.4345390027956
2009-12-01T00:00:00Z,3501.62,2397.625212048294,4723.81,3221.87509029146
2010-01-01T00:00:00Z,2481.36,2498.534330144564,3468.61,3288.274875897536
2010-02-01T00:00:00Z,2474.04,2572.708177548618,3376.54,3379.9344495942437
2010-03-01T00:00:00Z,2534.38,2606.212925581286,3578.79,3434.3142376717633
2010-04-01T00:00:00Z,2557.3,2617.6326711860575,3546.73,3494.3467481773077
2010-05-01T00:00:00Z,2635.36,2644.6719735161505,3575.29,3550.417764754812
2010-06-01T00:00:00Z,4200,2888.0584449428434,5323,3667.042892509683
2010-07-01T00:00:00Z,2897.92,2859.419927504226,3796.59,3751.1758553408044
2010-08-01T00:00:00Z,2943.55,2946.6322050897247,3875.35,3852.1891129870914
2010-09-01T00:00:00Z,3064.54,3032.2319393350176,4013.63,3947.3125289242557
2010-10-01T00:00:00Z,3086.84,3100.8666561516957,4055.92,4032.2444536548896
2010-11-01T00:00:00Z,3123.44,3149.3653344782606,4099.69,4125.269582325941
2010-12-01T00:00:00Z,4766.23,3266.426913186268,6166.26,4209.630401479935
2011-01-01T00:00:00Z,3330.81,3367.090278461997,4608.69,4368.44839127337
2011-02-01T00:00:00Z,3281.56,3420.9065288992756,4365.13,4380.829116065273
2011-03-01T00:00:00Z,3418.64,3516.553137881006,4757.17,4556.365418356677
2011-04-01T00:00:00Z,3427.54,3509.7705717965446,4633.46,4576.946623523801
2011-05-01T00:00:00Z,3601.48,3594.798047927141,4862.15,4796.493885513559
2011-06-01T00:00:00Z,5527.12,3809.8689180923316,7042.69,4852.592165541985
2011-07-01T00:00:00Z,3913.73,3877.195202556557,5019.54,4958.48256480771
2011-08-01T00:00:00Z,3972.79,3956.4843209334626,5114.96,5079.603459314117
2011-09-01T00:00:00Z,4176.76,4134.755521625765,5277.16,5207.517230111867
2011-10-01T00:00:00Z,4189.98,4233.135650579301,5332.89,5318.759462607869
2011-11-01T00:00:00Z,4259.99,4273.451522456317,5402.56,5422.599522685174
2011-12-01T00:00:00Z,6480.21,4429.156565671635,8130.47,5565.647989522347
2012-01-01T00:00:00Z,4513.45,4561.248099762078,6028.03,5700.355860859157
2012-02-01T00:00:00Z,4483.49,4519.557994175565,5824.77,5646.314932550462
2012-03-01T00:00:00Z,4540.95,4695.183161259368,6145.19,5901.884539308501
2012-04-01T00:00:00Z,4682.46,4833.297546968464,6087.02,6003.793811483264
2012-05-01T00:00:00Z,5049.43,4989.325628144528,6278.22,6155.866508627029
2012-06-01T00:00:00Z,7396.13,5091.769530873512,9107.16,6306.203385165715
