Período,Categoría Ocupacional,Valor
40909,Empleo asalariado en el sector privado,6105.953
40909,Empleo asalariado en el sector público,2543.717
40909,Empleo en casas particulares,389.219
40909,Trabajo Independientes Autónomos,409.935
40909,Trabajo Independientes Monotributo,1314.711
40909,"Trabajo Independientes Monotributo
Social",167.762
40909,Total,10931.296999999999
40940,Empleo asalariado en el sector privado,6103.382
40940,Empleo asalariado en el sector público,2598.154
40940,Empleo en casas particulares,388.833
40940,Trabajo Independientes Autónomos,408.926
40940,Trabajo Independientes Monotributo,1314.532
40940,"Trabajo Independientes Monotributo
Social",168.913
40940,Total,10982.74
40969,Empleo asalariado en el sector privado,6112.372
40969,Empleo asalariado en el sector público,2602.057
40969,Empleo en casas particulares,386.595
40969,Trabajo Independientes Autónomos,406.518
40969,Trabajo Independientes Monotributo,1314.626
40969,"Trabajo Independientes Monotributo
Social",170.047
40969,Total,10992.215
41000,Empleo asalariado en el sector privado,6055.047
41000,Empleo asalariado en el sector público,2605.39
41000,Empleo en casas particulares,389.983
41000,Trabajo Independientes Autónomos,407.669
41000,Trabajo Independientes Monotributo,1317.796
41000,"Trabajo Independientes Monotributo
Social",172.512
41000,Total,10948.397
41030,Empleo asalariado en el sector privado,6042.617
41030,Empleo asalariado en el sector público,2591.278
41030,Empleo en casas particulares,392.211
41030,Trabajo Independientes Autónomos,407.628
41030,Trabajo Independientes Monotributo,1321.841
41030,"Trabajo Independientes Monotributo
Social",172.926
41030,Total,10928.501
41061,Empleo asalariado en el sector privado,6033.331
41061,Empleo asalariado en el sector público,2648.546
41061,Empleo en casas particulares,395.002
41061,Trabajo Independientes Autónomos,407.513
41061,Trabajo Independientes Monotributo,1332.556
41061,"Trabajo Independientes Monotributo
Social",174.563
41061,Total,10991.511000000002
41091,Empleo asalariado en el sector privado,6026.877
41091,Empleo asalariado en el sector público,2626.379
41091,Empleo en casas particulares,398.143
41091,Trabajo Independientes Autónomos,408.251
41091,Trabajo Independientes Monotributo,1342.079
41091,"Trabajo Independientes Monotributo
Social",178.134
41091,Total,10979.863000000001
41122,Empleo asalariado en el sector privado,6029.591
41122,Empleo asalariado en el sector público,2634.373
41122,Empleo en casas particulares,400.836
41122,Trabajo Independientes Autónomos,409.089
41122,Trabajo Independientes Monotributo,1346.925
41122,"Trabajo Independientes Monotributo
Social",179.842
41122,Total,11000.655999999999
41153,Empleo asalariado en el sector privado,6022.8
41153,Empleo asalariado en el sector público,2633.695
41153,Empleo en casas particulares,401.792
41153,Trabajo Independientes Autónomos,409.444
41153,Trabajo Independientes Monotributo,1352.378
41153,"Trabajo Independientes Monotributo
Social",182.364
41153,Total,11002.473
41183,Empleo asalariado en el sector privado,6063.455
41183,Empleo asalariado en el sector público,2648.297
41183,Empleo en casas particulares,402.225
41183,Trabajo Independientes Autónomos,409.337
41183,Trabajo Independientes Monotributo,1360.189
41183,"Trabajo Independientes Monotributo
Social",183.254
41183,Total,11066.757000000001
41214,Empleo asalariado en el sector privado,6087.135
41214,Empleo asalariado en el sector público,2672.631
41214,Empleo en casas particulares,400.764
41214,Trabajo Independientes Autónomos,409.139
41214,Trabajo Independientes Monotributo,1365.476
41214,"Trabajo Independientes Monotributo
Social",184.774
41214,Total,11119.918999999998
41244,Empleo asalariado en el sector privado,6112.677
41244,Empleo asalariado en el sector público,2691.67
41244,Empleo en casas particulares,399.141
41244,Trabajo Independientes Autónomos,408.291
41244,Trabajo Independientes Monotributo,1364.714
41244,"Trabajo Independientes Monotributo
Social",186.953
41244,Total,11163.445999999998
41275,Empleo asalariado en el sector privado,6129.521
41275,Empleo asalariado en el sector público,2707.367
41275,Empleo en casas particulares,407.638
41275,Trabajo Independientes Autónomos,412.382
41275,Trabajo Independientes Monotributo,1370.088
41275,"Trabajo Independientes Monotributo
Social",187.364
41275,Total,11214.359999999999
41306,Empleo asalariado en el sector privado,6136.717
41306,Empleo asalariado en el sector público,2705.757
41306,Empleo en casas particulares,408.904
41306,Trabajo Independientes Autónomos,421.341
41306,Trabajo Independientes Monotributo,1370.248
41306,"Trabajo Independientes Monotributo
Social",188.774
41306,Total,11231.741
41334,Empleo asalariado en el sector privado,6139.607
41334,Empleo asalariado en el sector público,2701.171
41334,Empleo en casas particulares,405.441
41334,Trabajo Independientes Autónomos,421.248
41334,Trabajo Independientes Monotributo,1376.771
41334,"Trabajo Independientes Monotributo
Social",190.372
41334,Total,11234.61
41365,Empleo asalariado en el sector privado,6121.609
41365,Empleo asalariado en el sector público,2724.588
41365,Empleo en casas particulares,408.672
41365,Trabajo Independientes Autónomos,422.966
41365,Trabajo Independientes Monotributo,1384.022
41365,"Trabajo Independientes Monotributo
Social",192.11
41365,Total,11253.967
41395,Empleo asalariado en el sector privado,6085.388
41395,Empleo asalariado en el sector público,2804.973
41395,Empleo en casas particulares,416.926
41395,Trabajo Independientes Autónomos,423.351
41395,Trabajo Independientes Monotributo,1393.872
41395,"Trabajo Independientes Monotributo
Social",193.743
41395,Total,11318.253
41426,Empleo asalariado en el sector privado,6065.404
41426,Empleo asalariado en el sector público,2815.202
41426,Empleo en casas particulares,434.062
41426,Trabajo Independientes Autónomos,423.389
41426,Trabajo Independientes Monotributo,1402.481
41426,"Trabajo Independientes Monotributo
Social",196.469
41426,Total,11337.006999999998
41456,Empleo asalariado en el sector privado,6077.981
41456,Empleo asalariado en el sector público,2809.164
41456,Empleo en casas particulares,442.028
41456,Trabajo Independientes Autónomos,425.5
41456,Trabajo Independientes Monotributo,1411.92
41456,"Trabajo Independientes Monotributo
Social",203.751
41456,Total,11370.344000000001
41487,Empleo asalariado en el sector privado,6092.965
41487,Empleo asalariado en el sector público,2810.962
41487,Empleo en casas particulares,444.127
41487,Trabajo Independientes Autónomos,428.682
41487,Trabajo Independientes Monotributo,1424.168
41487,"Trabajo Independientes Monotributo
Social",242.333
41487,Total,11443.237000000001
41518,Empleo asalariado en el sector privado,6085.84
41518,Empleo asalariado en el sector público,2821.541
41518,Empleo en casas particulares,446.377
41518,Trabajo Independientes Autónomos,430.798
41518,Trabajo Independientes Monotributo,1437.754
41518,"Trabajo Independientes Monotributo
Social",274.123
41518,Total,11496.433
41548,Empleo asalariado en el sector privado,6116.573
41548,Empleo asalariado en el sector público,2846.241
41548,Empleo en casas particulares,448.476
41548,Trabajo Independientes Autónomos,429.728
41548,Trabajo Independientes Monotributo,1454.92
41548,"Trabajo Independientes Monotributo
Social",285.021
41548,Total,11580.959
41579,Empleo asalariado en el sector privado,6141.608
41579,Empleo asalariado en el sector público,2857.023
41579,Empleo en casas particulares,449.149
41579,Trabajo Independientes Autónomos,426.86
41579,Trabajo Independientes Monotributo,1461.073
41579,"Trabajo Independientes Monotributo
Social",289.861
41579,Total,11625.574000000002
41609,Empleo asalariado en el sector privado,6147.924
41609,Empleo asalariado en el sector público,2888.375
41609,Empleo en casas particulares,449.121
41609,Trabajo Independientes Autónomos,422.978
41609,Trabajo Independientes Monotributo,1461.135
41609,"Trabajo Independientes Monotributo
Social",293.069
41609,Total,11662.601999999997
41640,Empleo asalariado en el sector privado,6153.747
41640,Empleo asalariado en el sector público,2848.963
41640,Empleo en casas particulares,454.352
41640,Trabajo Independientes Autónomos,424.795
41640,Trabajo Independientes Monotributo,1462.699
41640,"Trabajo Independientes Monotributo
Social",294.183
41640,Total,11638.739000000001
41671,Empleo asalariado en el sector privado,6147.955
41671,Empleo asalariado en el sector público,2846.69
41671,Empleo en casas particulares,455.201
41671,Trabajo Independientes Autónomos,421.824
41671,Trabajo Independientes Monotributo,1463.739
41671,"Trabajo Independientes Monotributo
Social",297.153
41671,Total,11632.562000000002
41699,Empleo asalariado en el sector privado,6127.053
