"","X","Country","City","Month","Day","Year","temp_prom"
"1",1,"Argentina","Buenos Aires","1",1,1995,82.4
"2",2,"Argentina","Buenos Aires","1",2,1995,75.1
"3",3,"Argentina","Buenos Aires","1",3,1995,73.7
"4",4,"Argentina","Buenos Aires","1",4,1995,77.1
"5",5,"Argentina","Buenos Aires","1",5,1995,79.5
"6",6,"Argentina","Buenos Aires","1",6,1995,71.3
"7",7,"Argentina","Buenos Aires","1",7,1995,71.4
"8",8,"Argentina","Buenos Aires","1",8,1995,75.2
"9",9,"Argentina","Buenos Aires","1",9,1995,66.3
"10",10,"Argentina","Buenos Aires","1",10,1995,61.8
"11",11,"Argentina","Buenos Aires","1",11,1995,67.1
"12",12,"Argentina","Buenos Aires","1",12,1995,72
"13",13,"Argentina","Buenos Aires","1",13,1995,74.3
"14",14,"Argentina","Buenos Aires","1",14,1995,78.3
"15",15,"Argentina","Buenos Aires","1",15,1995,81.9
"16",16,"Argentina","Buenos Aires","1",16,1995,72.5
"17",17,"Argentina","Buenos Aires","1",17,1995,65
"18",18,"Argentina","Buenos Aires","1",18,1995,70.5
"19",19,"Argentina","Buenos Aires","1",19,1995,75.2
"20",20,"Argentina","Buenos Aires","1",20,1995,74.3
"21",21,"Argentina","Buenos Aires","1",21,1995,74.3
"22",22,"Argentina","Buenos Aires","1",22,1995,77.8
"23",23,"Argentina","Buenos Aires","1",23,1995,80.4
"24",24,"Argentina","Buenos Aires","1",24,1995,71.7
"25",25,"Argentina","Buenos Aires","1",25,1995,71.3
"26",26,"Argentina","Buenos Aires","1",26,1995,75.6
"27",27,"Argentina","Buenos Aires","1",27,1995,76.3
"28",28,"Argentina","Buenos Aires","1",28,1995,67.6
"29",29,"Argentina","Buenos Aires","1",29,1995,67.2
"30",30,"Argentina","Buenos Aires","1",30,1995,69.3
"31",31,"Argentina","Buenos Aires","1",31,1995,77.5
"32",32,"Argentina","Buenos Aires","2",1,1995,67.5
"33",33,"Argentina","Buenos Aires","2",2,1995,67.7
"34",34,"Argentina","Buenos Aires","2",3,1995,71.8
"35",35,"Argentina","Buenos Aires","2",4,1995,66.9
"36",36,"Argentina","Buenos Aires","2",5,1995,65.3
"37",37,"Argentina","Buenos Aires","2",6,1995,68.2
"38",38,"Argentina","Buenos Aires","2",7,1995,74.5
"39",39,"Argentina","Buenos Aires","2",8,1995,75.3
"40",40,"Argentina","Buenos Aires","2",9,1995,77.2
"41",41,"Argentina","Buenos Aires","2",10,1995,72.4
"42",42,"Argentina","Buenos Aires","2",11,1995,74
"43",43,"Argentina","Buenos Aires","2",12,1995,75
"44",44,"Argentina","Buenos Aires","2",13,1995,77.1
"45",45,"Argentina","Buenos Aires","2",14,1995,75.5
"46",46,"Argentina","Buenos Aires","2",15,1995,73.2
"47",47,"Argentina","Buenos Aires","2",16,1995,73.6
"48",48,"Argentina","Buenos Aires","2",17,1995,68.3
"49",49,"Argentina","Buenos Aires","2",18,1995,60.4
"50",50,"Argentina","Buenos Aires","2",19,1995,70.9
"51",51,"Argentina","Buenos Aires","2",20,1995,79.3
"52",52,"Argentina","Buenos Aires","2",21,1995,76.4
"53",53,"Argentina","Buenos Aires","2",22,1995,65.5
"54",54,"Argentina","Buenos Aires","2",23,1995,64.6
"55",55,"Argentina","Buenos Aires","2",24,1995,68.8
"56",56,"Argentina","Buenos Aires","2",25,1995,68
"57",57,"Argentina","Buenos Aires","2",26,1995,71
"58",58,"Argentina","Buenos Aires","2",27,1995,75
"59",59,"Argentina","Buenos Aires","2",28,1995,69.7
"60",60,"Argentina","Buenos Aires","3",1,1995,68.8
"61",61,"Argentina","Buenos Aires","3",2,1995,71.2
"62",62,"Argentina","Buenos Aires","3",3,1995,74.5
"63",63,"Argentina","Buenos Aires","3",4,1995,66.6
"64",64,"Argentina","Buenos Aires","3",5,1995,63.5
"65",65,"Argentina","Buenos Aires","3",6,1995,67.8
"66",66,"Argentina","Buenos Aires","3",7,1995,68.6
"67",67,"Argentina","Buenos Aires","3",8,1995,64.8
"68",68,"Argentina","Buenos Aires","3",9,1995,67.4
"69",69,"Argentina","Buenos Aires","3",10,1995,70.6
"70",70,"Argentina","Buenos Aires","3",11,1995,71.1
"71",71,"Argentina","Buenos Aires","3",12,1995,70.3
"72",72,"Argentina","Buenos Aires","3",13,1995,70.2
"73",73,"Argentina","Buenos Aires","3",14,1995,68.8
"74",74,"Argentina","Buenos Aires","3",15,1995,71.3
"75",75,"Argentina","Buenos Aires","3",16,1995,69
"76",76,"Argentina","Buenos Aires","3",17,1995,64
"77",77,"Argentina","Buenos Aires","3",18,1995,80.2
"78",78,"Argentina","Buenos Aires","3",19,1995,70.1
"79",79,"Argentina","Buenos Aires","3",20,1995,73.9
"80",80,"Argentina","Buenos Aires","3",21,1995,78
"81",81,"Argentina","Buenos Aires","3",22,1995,74.6
"82",82,"Argentina","Buenos Aires","3",23,1995,75
"83",83,"Argentina","Buenos Aires","3",24,1995,70.4
"84",84,"Argentina","Buenos Aires","3",25,1995,72.1
"85",85,"Argentina","Buenos Aires","3",26,1995,67.6
"86",86,"Argentina","Buenos Aires","3",27,1995,73.4
"87",87,"Argentina","Buenos Aires","3",28,1995,74.6
"88",88,"Argentina","Buenos Aires","3",29,1995,62.8
"89",89,"Argentina","Buenos Aires","3",30,1995,60.1
"90",90,"Argentina","Buenos Aires","3",31,1995,60.8
"91",91,"Argentina","Buenos Aires","4",1,1995,61.4
"92",92,"Argentina","Buenos Aires","4",2,1995,61.9
"93",93,"Argentina","Buenos Aires","4",3,1995,66.7
"94",94,"Argentina","Buenos Aires","4",4,1995,72.8
"95",95,"Argentina","Buenos Aires","4",5,1995,75.4
"96",96,"Argentina","Buenos Aires","4",6,1995,69.9
"97",97,"Argentina","Buenos Aires","4",7,1995,69.7
"98",98,"Argentina","Buenos Aires","4",8,1995,70.2
"99",99,"Argentina","Buenos Aires","4",9,1995,63.2
"100",100,"Argentina","Buenos Aires","4",10,1995,56.4
"101",101,"Argentina","Buenos Aires","4",11,1995,55.7
"102",102,"Argentina","Buenos Aires","4",12,1995,55.1
"103",103,"Argentina","Buenos Aires","4",13,1995,56.9
"104",104,"Argentina","Buenos Aires","4",14,1995,60
"105",105,"Argentina","Buenos Aires","4",15,1995,64.6
"106",106,"Argentina","Buenos Aires","4",16,1995,62.3
"107",107,"Argentina","Buenos Aires","4",17,1995,64.5
"108",108,"Argentina","Buenos Aires","4",18,1995,67.3
"109",109,"Argentina","Buenos Aires","4",19,1995,61.6
"110",110,"Argentina","Buenos Aires","4",20,1995,51.1
"111",111,"Argentina","Buenos Aires","4",21,1995,52.6
"112",112,"Argentina","Buenos Aires","4",22,1995,52.7
"113",113,"Argentina","Buenos Aires","4",23,1995,57.4
"114",114,"Argentina","Buenos Aires","4",24,1995,61
"115",115,"Argentina","Buenos Aires","4",25,1995,61.7
"116",116,"Argentina","Buenos Aires","4",26,1995,61.9
"117",117,"Argentina","Buenos Aires","4",27,1995,63.5
"118",118,"Argentina","Buenos Aires","4",28,1995,62.1
"119",119,"Argentina","Buenos Aires","4",29,1995,59.9
"120",120,"Argentina","Buenos Aires","4",30,1995,63.5
"121",121,"Argentina","Buenos Aires","5",1,1995,60.8
"122",122,"Argentina","Buenos Aires","5",2,1995,55
"123",123,"Argentina","Buenos Aires","5",3,1995,62.7
"124",124,"Argentina","Buenos Aires","5",4,1995,68.1
"125",125,"Argentina","Buenos Aires","5",5,1995,57.6
"126",126,"Argentina","Buenos Aires","5",6,1995,55
"127",127,"Argentina","Buenos Aires","5",7,1995,53.3
"128",128,"Argentina","Buenos Aires","5",8,1995,65
"129",129,"Argentina","Buenos Aires","5",9,1995,63.7
"130",130,"Argentina","Buenos Aires","5",10,1995,58.4
"131",131,"Argentina","Buenos Aires","5",11,1995,55.2
"132",132,"Argentina","Buenos Aires","5",12,1995,57.2
"133",133,"Argentina","Buenos Aires","5",13,1995,63.2
"134",134,"Argentina","Buenos Aires","5",14,1995,63.9
"135",135,"Argentina","Buenos Aires","5",15,1995,62.9
"136",136,"Argentina","Buenos Aires","5",16,1995,62.5
"137",137,"Argentina","Buenos Aires","5",17,1995,56.7
"138",138,"Argentina","Buenos Aires","5",18,1995,48.7
"139",139,"Argentina","Buenos Aires","5",19,1995,47.3
"140",140,"Argentina","Buenos Aires","5",20,1995,49.3
"141",141,"Argentina","Buenos Aires","5",21,1995,56.3
"142",142,"Argentina","Buenos Aires","5",22,1995,53
"143",143,"Argentina","Buenos Aires","5",23,1995,47
"144",144,"Argentina","Buenos Aires","5",24,1995,48.1
"145",145,"Argentina","Buenos Aires","5",25,1995,47.7
"146",146,"Argentina","Buenos Aires","5",26,1995,46
"147",147,"Argentina","Buenos Aires","5",27,1995,49.6
"148",148,"Argentina","Buenos Aires","5",28,1995,50.8
"149",149,"Argentina","Buenos Aires","5",29,1995,51.6
"150",150,"Argentina","Buenos Aires","5",30,1995,52.7
"151",151,"Argentina","Buenos Aires","5",31,1995,55.3
"152",152,"Argentina","Buenos Aires","6",1,1995,56.7
"153",153,"Argentina","Buenos Aires","6",2,1995,50.6
"154",154,"Argentina","Buenos Aires","6",3,1995,53.8
"155",155,"Argentina","Buenos Aires","6",4,1995,57
"156",156,"Argentina","Buenos Aires","6",5,1995,66.8
"157",157,"Argentina","Buenos Aires","6",6,1995,59.4
"158",158,"Argentina","Buenos Aires","6",7,1995,47.6
"159",159,"Argentina","Buenos Aires","6",8,1995,45.3
"160",160,"Argentina","Buenos Aires","6",9,1995,53.8
"161",161,"Argentina","Buenos Aires","6",10,1995,57.2
"162",162,"Argentina","Buenos Aires","6",11,1995,47.1
"163",163,"Argentina","Buenos Aires","6",12,1995,56.5
"164",164,"Argentina","Buenos Aires","6",13,1995,46.2
"165",165,"Argentina","Buenos Aires","6",14,1995,38.3
"166",166,"Argentina","Buenos Aires","6",15,1995,46.7
"167",167,"Argentina","Buenos Aires","6",16,1995,46
"168",168,"Argentina","Buenos Aires","6",17,1995,42.5
"169",169,"Argentina","Buenos Aires","6",18,1995,46.4
"170",170,"Argentina","Buenos Aires","6",19,1995,48.3
"171",171,"Argentina","Buenos Aires","6",20,1995,46.9
"172",172,"Argentina","Buenos Aires","6",21,1995,51.1
"173",173,"Argentina","Buenos Aires","6",22,1995,57
"174",174,"Argentina","Buenos Aires","6",23,1995,62
"175",175,"Argentina","Buenos Aires","6",24,1995,51.3
"176",176,"Argentina","Buenos Aires","6",25,1995,39.1
"177",177,"Argentina","Buenos Aires","6",26,1995,45.7
"178",178,"Argentina","Buenos Aires","6",27,1995,46.5
"179",179,"Argentina","Buenos Aires","6",28,1995,43.2
"180",180,"Argentina","Buenos Aires","6",29,1995,35.5
"181",181,"Argentina","Buenos Aires","6",30,1995,44.8
"182",182,"Argentina","Buenos Aires","7",1,1995,46.3
"183",183,"Argentina","Buenos Aires","7",2,1995,49.2
"184",184,"Argentina","Buenos Aires","7",3,1995,47.3
"185",185,"Argentina","Buenos Aires","7",4,1995,48.8
"186",186,"Argentina","Buenos Aires","7",5,1995,58.5
"187",187,"Argentina","Buenos Aires","7",6,1995,48.9
