"","X","Country","City","Month","Day","Year","temp_prom"
"1",1,"Mexico","Guadalajara","1",1,1995,-99
"2",2,"Mexico","Guadalajara","1",2,1995,-99
"3",3,"Mexico","Guadalajara","1",3,1995,-99
"4",4,"Mexico","Guadalajara","1",4,1995,-99
"5",5,"Mexico","Guadalajara","1",5,1995,-99
"6",6,"Mexico","Guadalajara","1",6,1995,58.2
"7",7,"Mexico","Guadalajara","1",7,1995,-99
"8",8,"Mexico","Guadalajara","1",8,1995,-99
"9",9,"Mexico","Guadalajara","1",9,1995,60.5
"10",10,"Mexico","Guadalajara","1",10,1995,69.8
"11",11,"Mexico","Guadalajara","1",11,1995,64.2
"12",12,"Mexico","Guadalajara","1",12,1995,61.9
"13",13,"Mexico","Guadalajara","1",13,1995,61.2
"14",14,"Mexico","Guadalajara","1",14,1995,-99
"15",15,"Mexico","Guadalajara","1",15,1995,-99
"16",16,"Mexico","Guadalajara","1",16,1995,61.9
"17",17,"Mexico","Guadalajara","1",17,1995,61.2
"18",18,"Mexico","Guadalajara","1",18,1995,55.6
"19",19,"Mexico","Guadalajara","1",19,1995,61.7
"20",20,"Mexico","Guadalajara","1",20,1995,63.1
"21",21,"Mexico","Guadalajara","1",21,1995,-99
"22",22,"Mexico","Guadalajara","1",22,1995,-99
"23",23,"Mexico","Guadalajara","1",23,1995,57.4
"24",24,"Mexico","Guadalajara","1",24,1995,64.7
"25",25,"Mexico","Guadalajara","1",25,1995,-99
"26",26,"Mexico","Guadalajara","1",26,1995,64.1
"27",27,"Mexico","Guadalajara","1",27,1995,-99
"28",28,"Mexico","Guadalajara","1",28,1995,-99
"29",29,"Mexico","Guadalajara","1",29,1995,-99
"30",30,"Mexico","Guadalajara","1",30,1995,-99
"31",31,"Mexico","Guadalajara","1",31,1995,-99
"32",32,"Mexico","Guadalajara","2",1,1995,65
"33",33,"Mexico","Guadalajara","2",2,1995,65.1
"34",34,"Mexico","Guadalajara","2",3,1995,66.7
"35",35,"Mexico","Guadalajara","2",4,1995,-99
"36",36,"Mexico","Guadalajara","2",5,1995,-99
"37",37,"Mexico","Guadalajara","2",6,1995,-99
"38",38,"Mexico","Guadalajara","2",7,1995,-99
"39",39,"Mexico","Guadalajara","2",8,1995,-99
"40",40,"Mexico","Guadalajara","2",9,1995,-99
"41",41,"Mexico","Guadalajara","2",10,1995,-99
"42",42,"Mexico","Guadalajara","2",11,1995,-99
"43",43,"Mexico","Guadalajara","2",12,1995,-99
"44",44,"Mexico","Guadalajara","2",13,1995,65.7
"45",45,"Mexico","Guadalajara","2",14,1995,65
"46",46,"Mexico","Guadalajara","2",15,1995,66.4
"47",47,"Mexico","Guadalajara","2",16,1995,67.9
"48",48,"Mexico","Guadalajara","2",17,1995,62.5
"49",49,"Mexico","Guadalajara","2",18,1995,63.7
"50",50,"Mexico","Guadalajara","2",19,1995,-99
"51",51,"Mexico","Guadalajara","2",20,1995,-99
"52",52,"Mexico","Guadalajara","2",21,1995,73.4
