Periodo,Variable,Geografia,Valor
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,BUENOS AIRES,1787.64
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,"Cdad. Autónoma 
de Buenos Aires",1469.941
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,CATAMARCA,29.789
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,CHACO,59.917
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,CHUBUT,93.274
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,CÓRDOBA,457.589
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,CORRIENTES,63.403
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,ENTRE RÍOS,118.24
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,FORMOSA,20.594
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,JUJUY,50.544
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,LA PAMPA,35.412
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,LA RIOJA,25.573
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,MENDOZA,224.357
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,MISIONES,82.01
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,NEUQUÉN,92.927
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,RíO NEGRO,109.325
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,SALTA,100.327
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,SAN JUAN,73.954
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,SAN LUIS,52.385
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,SANTA CRUZ,54.735
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,SANTA FE,459.325
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,"SANTIAGO 
DEL ESTERO",41.929
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,TIERRA DEL FUEGO,27.006
2009-01-01T00:00:00Z,Asalariados registrados en el sector privado,TUCUMÁN,129.765
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,BUENOS AIRES,1769.223
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,"Cdad. Autónoma 
de Buenos Aires",1467.029
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,CATAMARCA,30.504
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,CHACO,60.212
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,CHUBUT,92.852
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,CÓRDOBA,456.084
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,CORRIENTES,63.791
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,ENTRE RÍOS,118.017
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,FORMOSA,20.837
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,JUJUY,50.327
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,LA PAMPA,35.541
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,LA RIOJA,28.996
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,MENDOZA,231.265
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,MISIONES,83.435
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,NEUQUÉN,93.316
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,RíO NEGRO,111.229
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,SALTA,100.914
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,SAN JUAN,74.532
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,SAN LUIS,51.639
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,SANTA CRUZ,55.166
2009-02-01T00:00:00Z,Asalariados registrados en el sector privado,SANTA FE,453.637
