"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2005","88900000","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2006","97624327.80480083","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2007","121145888.9681729","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2008","185060016.7268778","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2009","79984227.9847326","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2010","78477884.73676804","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2011","62723846.22356496","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2012","47884044.5688196","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2013","33412873.71843786","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2014","56797105.13373498","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2015","51929199.76846569","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2016","365814584.7374588","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2017","173045282.3958063","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2018","111075518.0390008","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2019","283947300.3978736","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2020","164762473.5533257","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2021","252988020.2078252","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2022","192717531.1687478","Millions"
"Argentina","Capital account balance (credit less debit), Net (credits less debits)","US dollar","Annual","2023","171353179.578794","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2005","6458060000","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2006","7911015092.92039","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2007","10045736496.17571","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2008","11424149071.77633","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2009","10544621323.63477","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2010","12817143360.60876","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2011","14496981275.38348","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2012","14247100729.55771","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2013","13679891768.37535","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2014","13396371827.72638","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2015","13213512349.97643","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2016","13424706884.22521","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2017","15506201961.98228","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2018","15342163177.83233","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2019","14802420804.61246","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2020","9491737606.79369","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2021","9588735677.65264","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2022","14413679145.69222","Millions"
"Argentina","Services, Credit/Revenue","US dollar","Annual","2023","16110565248.86818","Millions"
"Argentina","Financial derivatives (other than reserves) and employee stock options, Net acquisition of financial assets, Assets","US dollar","Annual","2006","0","Millions"
"Argentina","Financial derivatives (other than reserves) and employee stock options, Net acquisition of financial assets, Assets","US dollar","Annual","2007","0","Millions"
"Argentina","Financial derivatives (other than reserves) and employee stock options, Net acquisition of financial assets, Assets","US dollar","Annual","2008","0","Millions"
"Argentina","Financial derivatives (other than reserves) and employee stock options, Net acquisition of financial assets, Assets","US dollar","Annual","2009","0","Millions"
